epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.728,1.54589,1.64833,1.65483,0.61972,0.56543,0.59929,0.29172,1.58955,1.51776,1.65979,0.000555015,0.000555015,0.000555015
2,781.041,1.53726,1.39277,1.63457,0.6639,0.57037,0.63611,0.3065,1.64236,1.28442,1.63243,0.00100072,0.00100072,0.00100072
3,1164.57,1.46759,1.2642,1.57723,0.75097,0.70825,0.7684,0.40434,1.46765,1.11452,1.55123,0.00133641,0.00133641,0.00133641
4,1554.65,1.39528,1.11959,1.52686,0.77573,0.73366,0.80056,0.42608,1.396,0.95467,1.46148,0.0011719,0.0011719,0.0011719
