epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.144,1.33462,1.12331,1.4477,0.82256,0.80205,0.8494,0.47756,1.31782,0.82959,1.41343,0.000555015,0.000555015,0.000555015
2,766.962,1.29914,1.07681,1.42063,0.80598,0.78781,0.84095,0.45831,1.4071,0.84917,1.44567,0.000927419,0.000927419,0.000927419
3,1146.24,1.2803,1.04798,1.40555,0.83437,0.77572,0.8356,0.48365,1.28318,0.81036,1.38652,0.00111645,0.00111645,0.00111645
4,1524.67,1.23316,0.96516,1.37277,0.84988,0.7894,0.85788,0.50304,1.24491,0.77327,1.34528,0.000841835,0.000841835,0.000841835
5,1902.75,1.17786,0.87988,1.33305,0.84275,0.8222,0.88256,0.52766,1.23162,0.69775,1.32785,0.00056678,0.00056678,0.00056678
6,2281.14,1.11644,0.80048,1.29323,0.86601,0.82118,0.89245,0.5451,1.18326,0.65456,1.30078,0.000291725,0.000291725,0.000291725
